Sample	HPV.status	HPV.percent	human.percent	genotype	genotype.percent
14655_51435-T	pos	67.080%	20.520%	HPV58	62.130%
15960_16142-01-44	pos	96.948%	0.226%	HPV18	95.565%
15951_16142-01-35	pos	96.402%	0.006%	HPV16	96.311%
14692_51490-T	pos	95.267%	0.023%	HPV16	95.230%
14663_51455-T	pos	98.903%	0.005%	HPV16	98.749%
15970_16142-01-54	pos	76.569%	3.335%	HPV58,HPV16	62.931%,12.397%
14682_51448-T	pos	99.083%	0.007%	HPV16	99.080%
13865_3_E555-07	unclear	26.855%	55.437%	NA	NA
15938_16142-01-21	pos	52.943%	15.676%	HPV58	35.086%
15958_16142-01-42	pos	97.191%	0.021%	HPV16	96.536%
14665_51468-T	pos	58.832%	25.144%	HPV58	31.947%
13879_19_E620-10	pos	99.112%	0.036%	HPV16	99.106%
13875_15_E772-13	pos	98.986%	0.005%	HPV16	98.983%
13887_27_E772-25	pos	93.848%	3.762%	HPV16	86.926%
15933_16142-01-16	pos	96.499%	0.233%	HPV67	94.118%
15957_16142-01-41	pos	96.301%	0.370%	HPV18	92.907%
15953_16142-01-37	pos	88.668%	0.399%	HPV18,HPV16,HPV58	55.276%,22.911%,10.478%
14673_51418-T	pos	66.042%	15.259%	HPV16	52.955%
15946_16142-01-30	pos	96.736%	0.174%	HPV18	94.536%
14670_51486-T	unclear	26.776%	59.352%	NA	NA
13891_31_E555-17	pos	98.812%	0.315%	HPV16	98.811%
14657_51445-T	pos	98.560%	0.009%	HPV16	98.542%
15923_16142-01-6	pos	96.848%	0.045%	HPV16	95.538%
13889_29_E555-21	neg	0.913%	52.294%	NA	NA
15936_16142-01-19	pos	89.103%	4.351%	HPV16,HPV58,HPV18	41.328%,38.258%,9.513%
13893_33_E337-2	pos	97.709%	0.879%	HPV16	97.708%
13870_9_E389-47	neg	1.733%	71.761%	NA	NA
14693_51491-N	pos	90.165%	8.005%	HPV16,HPV58	55.004%,34.903%
15974_16142-01-58	pos	76.221%	5.079%	HPV73,HPV58,HPV16	50.087%,14.372%,6.897%
14672_51417-T	pos	98.630%	0.022%	HPV16	98.626%
13872_12_E775-02	pos	98.838%	0.320%	HPV16	98.829%
14689_51468-N	pos	85.234%	12.060%	HPV16	78.790%
13863_1_E660-15	neg	0.105%	60.859%	NA	NA
14680_51432-T	pos	95.531%	0.009%	HPV16	95.527%
13883_23_E775-13	pos	98.108%	0.015%	HPV16	98.101%
15945_16142-01-29	pos	97.276%	0.031%	HPV18	96.987%
13873_13_E775-04	pos	86.001%	9.501%	HPV16	86.000%
15921_16142-01-4	pos	95.942%	0.057%	HPV45	94.757%
15971_16142-01-55	pos	88.724%	0.344%	HPV16	86.958%
15935_16142-01-18	pos	67.746%	1.124%	HPV58,HPV16,HPV18	30.451%,20.153%,17.128%
15926_16142-01-09	pos	93.051%	0.068%	HPV16,HPV58,HPV18	61.635%,22.893%,8.501%
14685_51460-T	pos	96.347%	1.488%	HPV18	94.299%
15929_16142-01-12	pos	90.229%	5.043%	HPV58,HPV16	75.065%,11.709%
13895_35_E337-06	pos	97.599%	0.126%	HPV16	97.593%
14668_51484-T	pos	98.697%	0.058%	HPV16	98.643%
14691_51480-T	pos	98.426%	0.366%	HPV18	98.083%
15931_16142-01-14	pos	68.899%	6.936%	HPV58	60.976%
14659_51450-T	pos	99.081%	0.109%	HPV18	98.766%
15964_16142-01-48	pos	93.328%	0.218%	HPV18	91.176%
15963_16142-01-47	pos	95.800%	0.083%	HPV33,HPV16,HPV18	56.958%,30.201%,8.208%
13871_10_E337-9	pos	96.770%	1.404%	HPV18	96.691%
15924_16142-01-7	pos	96.961%	0.038%	HPV16	96.419%
15918_16142-01-1	pos	96.833%	0.144%	HPV18	93.163%
15942_16142-01-26	pos	97.064%	0.195%	HPV16,HPV58	86.168%,10.882%
14690_51475-T	pos	98.954%	0.003%	HPV16	98.945%
13882_22_E731-01	pos	96.355%	0.651%	HPV16	96.347%
13866_4_E660-14	neg	1.340%	75.121%	NA	NA
14686_51461-T	pos	91.857%	2.542%	HPV45	90.502%
14676_51427-T	neg	1.661%	1.336%	NA	NA
14652_51423-T	pos	98.078%	0.172%	HPV16	97.927%
15919_16142-01-2	pos	90.828%	0.142%	HPV16	86.340%
14662_51454-T	pos	66.622%	21.992%	HPV16,HPV58	43.385%,22.391%
15947_16142-01-31	pos	96.496%	0.087%	HPV18	95.493%
15966_16142-01-50	pos	90.698%	3.266%	HPV58,HPV16	65.864%,24.593%
13896_36_E337-5	pos	96.232%	0.086%	HPV16	96.229%
15950_16142-01-34	pos	88.766%	0.038%	HPV16	87.963%
13881_21_E620-09	pos	98.037%	0.091%	HPV18	97.631%
15927_16142-01-10	pos	97.052%	0.835%	HPV16,HPV58	74.506%,18.442%
14679_51431-T	pos	99.248%	0.007%	HPV16	99.245%
15940_16142-01-24	pos	87.744%	3.216%	HPV58,HPV16,HPV18,HPV31	48.446%,24.133%,10.110%,5.054%
14674_51420-T	pos	98.370%	0.187%	HPV16	98.287%
15920_16142-01-3	pos	95.587%	0.297%	HPV16	90.116%
15972_16142-01-56	pos	93.087%	0.221%	HPV18	91.389%
14677_51429-T	pos	65.975%	26.794%	HPV58	38.939%
14660_51451-T	pos	98.982%	0.141%	HPV18	98.462%
15975_16142-01-59	pos	84.827%	0.037%	HPV16	83.941%
15922_16142-01-5	pos	94.415%	0.696%	HPV45,HPV58,HPV16,HPV18	67.134%,13.321%,7.968%,5.992%
14671_51487-T	pos	56.462%	32.829%	HPV58	47.023%
15932_16142-01-15	pos	88.898%	0.617%	HPV31	86.539%
13867_5_E373-57	pos	95.187%	3.145%	HPV16	95.114%
14694_51480-N	pos	95.647%	2.018%	HPV18,HPV16	87.243%,7.787%
15930_16142-01-13	pos	89.263%	0.015%	HPV16	88.960%
14654_51434-T	pos	98.888%	0.057%	HPV16	98.785%
15941_16142-01-25	pos	98.151%	0.037%	HPV16	97.437%
13868_6_E373-59	pos	93.830%	4.334%	HPV16	93.827%
15968_16142-01-52	pos	85.202%	0.042%	HPV16	84.996%
14684_51459-T	pos	92.849%	1.697%	HPV18	92.741%
15934_16142-01-17	pos	83.411%	7.649%	HPV16,HPV58,HPV18	34.611%,32.858%,15.939%
13880_20_E741-18	pos	93.402%	1.897%	HPV16,HPV59	48.354%,44.553%
14695_51482-T	pos	97.646%	0.940%	HPV18	96.017%
13864_2_E660-13	neg	0.634%	69.397%	NA	NA
14675_51424-T	pos	46.981%	36.987%	unclear	NA
14687_51466-T	pos	74.493%	17.343%	HPV16	61.882%
14661_51453-T	pos	92.128%	4.457%	HPV18,HPV58	77.085%,12.629%
15973_16142-01-57	pos	79.653%	3.416%	HPV73,HPV58,HPV16	52.964%,14.470%,7.746%
13878_18_E660-10	neg	0.509%	20.912%	NA	NA
15943_16142-01-27	pos	98.107%	0.065%	HPV16	97.810%
14667_51481-T	pos	98.603%	0.077%	HPV16	98.500%
15944_16142-01-28	pos	98.066%	0.149%	HPV16	97.795%
15928_16142-01-11	pos	95.545%	1.067%	HPV18,HPV58	76.172%,19.317%
14656_51436-T	pos	98.203%	0.564%	HPV16	97.500%
14678_51430-T	pos	98.670%	0.039%	HPV16	98.666%
15952_16142-01-36	pos	90.068%	3.568%	HPV58,HPV16,HPV59	49.125%,18.596%,17.348%
14681_51441-T	pos	98.962%	0.020%	HPV16	98.961%
14653_51425-T	pos	99.193%	0.008%	HPV16	99.137%
13892_32_E337-03	pos	98.958%	0.009%	HPV16	98.957%
15939_16142-01-23	pos	94.202%	0.541%	HPV16	90.579%
13890_30_E540-18	pos	97.749%	0.503%	HPV16	97.710%
15956_16142-01-40	pos	93.377%	0.680%	HPV18	87.892%
15925_16142-01-08	pos	91.654%	2.192%	HPV16,HPV58,HPV31,HPV18	39.217%,23.691%,16.384%,12.199%
13888_28_E540-20	pos	98.349%	0.193%	HPV58	98.299%
13877_17_E772-16	pos	96.106%	2.069%	HPV16	95.918%
15949_16142-01-33	pos	93.207%	1.387%	HPV58	89.464%
15954_16142-01-38	pos	94.098%	0.747%	HPV16,HPV58	83.678%,8.271%
13886_26_E540-31	pos	98.755%	0.071%	HPV18	98.726%
14688_51466-N	pos	53.076%	39.281%	unclear	NA
13884_24_E500-24	pos	96.410%	1.310%	HPV18	96.359%
13885_25_E772-27	pos	98.037%	0.009%	HPV16	98.028%
15962_16142-01-46	pos	96.109%	0.124%	HPV16	95.313%
13874_14_E660-12	neg	0.205%	32.703%	NA	NA
14683_51449-T	pos	94.820%	0.418%	HPV16	94.436%
13894_34_E337-07	pos	96.695%	2.421%	HPV16	96.694%
14664_51458-T	pos	87.857%	8.119%	HPV59,HPV16,HPV58	62.273%,12.323%,11.670%
14669_51485-T	pos	56.534%	27.956%	HPV58	50.764%
14658_51446-T	pos	59.020%	31.188%	unclear	NA
15955_16142-01-39	pos	86.474%	0.060%	HPV16	86.160%
15967_16142-01-51	pos	97.496%	0.190%	HPV45	95.541%
